epoch,acc,loss,val_acc,val_loss
0,0.7794432548544538,0.5330149738768184,0.8251833748117927,0.37387783508429023
1,0.8476598348301023,0.3455984401990967,0.8447432758464207,0.3822982346953273
2,0.8690731110431325,0.3029448596182863,0.8594132036626485,0.3447656335632492
3,0.8767207096971551,0.2809968280314524,0.8740831304587479,0.30191224077511536
4,0.8926277149157554,0.2542089225502691,0.803178482358788,0.43453732766848613
5,0.8754970939125115,0.2870247354243793,0.8704156463187015,0.29644957767722074
6,0.8855919241540546,0.2585808552252331,0.8667481658219708,0.3190417412877957
7,0.8806974610154802,0.30378272356371444,0.8887530546316599,0.2778784677131252
8,0.9079229122238007,0.22655518925055046,0.8899755509966452,0.2832709766541833
9,0.9002753135880114,0.24041474882015287,0.8496332515422755,0.33305290188358
